epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,270.822,1.46415,2.31351,1.49391,0.18163,0.16617,0.12365,0.0572,1.37717,2.40199,1.39067,0.000333113,0.000333113,0.0670218
2,522.16,1.07757,1.46165,1.18832,0.20497,0.24034,0.16505,0.07687,1.24644,2.30433,1.29556,0.000666406,0.000666406,0.0340218
3,768.526,0.97381,1.19623,1.12038,0.26599,0.2212,0.18576,0.08999,1.21089,2.2681,1.2781,0.000999535,0.000999535,0.00102157
4,1014.07,0.91605,1.05405,1.08513,0.31008,0.24565,0.20449,0.09965,1.20021,2.25106,1.26841,0.00099945,0.00099945,0.00099945
5,1257.67,0.87392,0.96965,1.06024,0.29543,0.25292,0.21108,0.10346,1.17422,2.23623,1.24803,0.000999023,0.000999023,0.000999023
6,1505.86,0.84749,0.91767,1.04433,0.34466,0.25297,0.22742,0.10585,1.18679,2.23449,1.26046,0.000998474,0.000998474,0.000998474
7,1753.13,0.82467,0.87392,1.03032,0.35801,0.24927,0.22552,0.10848,1.17182,2.24292,1.24734,0.000997803,0.000997803,0.000997803
8,1999.95,0.8075,0.8433,1.02032,0.34683,0.24898,0.22214,0.10729,1.17764,2.30388,1.25557,0.000997011,0.000997011,0.000997011
9,2247.62,0.79443,0.82042,1.01387,0.34257,0.25996,0.22558,0.11192,1.17925,2.34795,1.25512,0.000996097,0.000996097,0.000996097
10,2497.66,0.78057,0.80079,1.00551,0.34653,0.24698,0.21831,0.10494,1.16781,2.3004,1.24767,0.000995062,0.000995062,0.000995062
11,2744.95,0.76846,0.78139,0.99887,0.33026,0.24424,0.22151,0.10738,1.18482,2.37055,1.26804,0.000993906,0.000993906,0.000993906
12,2991.18,0.75894,0.76623,0.99299,0.31271,0.24967,0.20954,0.10373,1.16955,2.33638,1.26135,0.000992629,0.000992629,0.000992629
13,3237.78,0.75083,0.75385,0.98886,0.34571,0.25636,0.22253,0.10795,1.17725,2.36157,1.2642,0.000991232,0.000991232,0.000991232
14,3485.03,0.74145,0.74029,0.98345,0.3375,0.22665,0.21458,0.10602,1.19026,2.40071,1.27404,0.000989715,0.000989715,0.000989715
15,3731.23,0.7345,0.73011,0.97957,0.32234,0.23345,0.21126,0.10287,1.18365,2.36423,1.27382,0.000988079,0.000988079,0.000988079
16,3982.1,0.72682,0.72068,0.9753,0.31239,0.24481,0.21184,0.10392,1.17016,2.43285,1.25716,0.000986323,0.000986323,0.000986323
17,4230.49,0.72086,0.71117,0.97263,0.32387,0.23716,0.21089,0.10401,1.18226,2.45443,1.27487,0.000984449,0.000984449,0.000984449
18,4477.95,0.71428,0.70324,0.96904,0.34895,0.24605,0.22175,0.10932,1.17797,2.45002,1.27596,0.000982456,0.000982456,0.000982456
19,4723.86,0.70729,0.69362,0.96563,0.3617,0.25121,0.22172,0.10873,1.18634,2.49784,1.27949,0.000980345,0.000980345,0.000980345
20,4970.55,0.70111,0.68635,0.96319,0.32952,0.23561,0.21051,0.10353,1.18187,2.45065,1.27494,0.000978118,0.000978118,0.000978118
21,5216.44,0.69747,0.68032,0.96139,0.33932,0.23792,0.21659,0.10754,1.17732,2.50637,1.27695,0.000975773,0.000975773,0.000975773
22,5462.49,0.69364,0.67374,0.95887,0.3283,0.2332,0.21229,0.10602,1.18045,2.55005,1.28391,0.000973312,0.000973312,0.000973312
23,5708.94,0.68661,0.66786,0.95475,0.33814,0.23231,0.21445,0.10673,1.18089,2.50515,1.28515,0.000970736,0.000970736,0.000970736
24,5955.53,0.68466,0.66369,0.95437,0.35716,0.2333,0.22354,0.11083,1.17732,2.48331,1.28502,0.000968045,0.000968045,0.000968045
25,6202.1,0.67827,0.6573,0.95098,0.33731,0.23782,0.22188,0.10901,1.1718,2.46963,1.28301,0.000965239,0.000965239,0.000965239
26,6447.9,0.6748,0.65357,0.94914,0.34516,0.23633,0.2156,0.10652,1.17993,2.51633,1.29456,0.00096232,0.00096232,0.00096232
27,6694.69,0.66894,0.64588,0.94682,0.34,0.22884,0.20865,0.10157,1.18332,2.53258,1.29832,0.000959289,0.000959289,0.000959289
28,6940.94,0.66709,0.64355,0.94587,0.33862,0.22931,0.21187,0.10291,1.17722,2.52946,1.28988,0.000956145,0.000956145,0.000956145
29,7190.57,0.66504,0.63997,0.94371,0.34307,0.23385,0.21721,0.10572,1.18003,2.50237,1.29193,0.000952889,0.000952889,0.000952889
