epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,961.519,1.24121,1.80961,1.69808,0.45329,0.39279,0.37285,0.17131,1.25472,2.11549,1.67906,0.000333278,0.000333278,0.0670055
2,1885.28,1.04754,1.33781,1.46275,0.50087,0.40954,0.39827,0.18993,1.20918,2.04397,1.62086,0.000666449,0.000666449,0.0340053
3,2809.63,0.99124,1.18631,1.3968,0.54092,0.4124,0.42568,0.20747,1.21043,1.96476,1.60119,0.000998968,0.000998968,0.00100448
4,3729.7,0.95617,1.08997,1.35711,0.48161,0.39502,0.38756,0.18826,1.22431,2.03036,1.62038,0.000997803,0.000997803,0.000997803
5,4648.35,0.9275,1.02221,1.32693,0.49142,0.38107,0.38501,0.18857,1.20813,1.971,1.59372,0.000996097,0.000996097,0.000996097
6,5566.96,0.90374,0.96768,1.30406,0.53606,0.39019,0.40882,0.20003,1.23815,2.18417,1.62309,0.000993906,0.000993906,0.000993906
7,6489.05,0.88602,0.9341,1.28682,0.55324,0.38743,0.41008,0.20605,1.22241,2.15177,1.61242,0.000991232,0.000991232,0.000991232
8,7411.78,0.86917,0.90361,1.27011,0.50765,0.3593,0.39337,0.19822,1.24138,2.23839,1.62863,0.000988079,0.000988079,0.000988079
9,8332.14,0.85858,0.87992,1.26054,0.49355,0.38864,0.39568,0.19998,1.18949,2.19018,1.57334,0.000984449,0.000984449,0.000984449
10,9248.84,0.84632,0.85831,1.25017,0.49345,0.38768,0.3924,0.19474,1.22345,2.23323,1.60919,0.000980345,0.000980345,0.000980345
11,10166.5,0.83432,0.83816,1.23836,0.48116,0.38252,0.38937,0.19288,1.21511,2.18677,1.59926,0.000975773,0.000975773,0.000975773
12,11084.4,0.82673,0.82076,1.23152,0.50452,0.3949,0.39618,0.19745,1.20832,2.12201,1.59152,0.000970736,0.000970736,0.000970736
13,12003.7,0.81492,0.80233,1.2205,0.4836,0.3937,0.39358,0.19632,1.17771,2.09847,1.5657,0.000965239,0.000965239,0.000965239
14,12923.8,0.80967,0.79226,1.21579,0.53095,0.39022,0.4026,0.20188,1.17561,2.18765,1.56462,0.000959289,0.000959289,0.000959289
15,13844,0.80195,0.7824,1.20877,0.51665,0.39805,0.40711,0.20335,1.1955,2.11582,1.58954,0.000952889,0.000952889,0.000952889
16,14762.5,0.79289,0.76672,1.20177,0.54766,0.39923,0.41618,0.20712,1.18011,2.17653,1.57633,0.000946048,0.000946048,0.000946048
17,15683.6,0.78803,0.76008,1.1964,0.51084,0.39511,0.40523,0.20253,1.1742,2.09069,1.57047,0.000938772,0.000938772,0.000938772
18,16599.4,0.78047,0.7479,1.19101,0.54617,0.38705,0.40562,0.20355,1.16563,2.19168,1.5607,0.000931067,0.000931067,0.000931067
19,17518.8,0.77808,0.74259,1.18792,0.53396,0.35797,0.38692,0.19473,1.16793,2.17969,1.55968,0.000922942,0.000922942,0.000922942
20,18437.4,0.77025,0.73245,1.18181,0.51937,0.37743,0.39636,0.19842,1.17145,2.22509,1.57192,0.000914405,0.000914405,0.000914405
21,19353.6,0.76581,0.72606,1.17604,0.51347,0.38148,0.40088,0.1991,1.19233,2.26439,1.59172,0.000905463,0.000905463,0.000905463
22,20274.4,0.76075,0.72038,1.17099,0.50569,0.38359,0.39788,0.19804,1.19924,2.28937,1.59977,0.000896127,0.000896127,0.000896127
23,21196,0.75851,0.7154,1.16813,0.52801,0.36618,0.39013,0.19439,1.17764,2.24672,1.58274,0.000886404,0.000886404,0.000886404
