epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.235,1.28991,1.79278,1.51028,0.2584,0.31343,0.21541,0.09871,1.22842,2.04135,1.3713,0.000166557,0.000166557,0.0668553
2,522.283,0.9821,1.20136,1.19204,0.34013,0.30785,0.2594,0.12442,1.16568,2.03014,1.29701,0.000333142,0.000333142,0.0336885
3,772.159,0.9092,1.03032,1.12829,0.3891,0.3323,0.28172,0.14027,1.14623,2.01098,1.28744,0.000499402,0.000499402,0.000521433
4,1020.93,0.86493,0.93826,1.09587,0.39602,0.31592,0.29659,0.14987,1.1583,2.09399,1.29658,0.000498902,0.000498902,0.000498902
5,1268.36,0.83005,0.87357,1.07163,0.37801,0.30879,0.27789,0.13875,1.17771,2.27522,1.29851,0.000498048,0.000498048,0.000498048
6,1515.56,0.80696,0.83187,1.05507,0.41685,0.30839,0.28573,0.14717,1.15015,2.15793,1.28871,0.000496953,0.000496953,0.000496953
7,1763.85,0.78584,0.79819,1.04132,0.45554,0.2956,0.28655,0.14816,1.14199,2.29923,1.27881,0.000495616,0.000495616,0.000495616
8,2011.9,0.77116,0.77455,1.03125,0.43714,0.29453,0.28611,0.14469,1.13882,2.25324,1.27749,0.000494039,0.000494039,0.000494039
9,2262.68,0.75898,0.75471,1.02366,0.46985,0.28897,0.2867,0.14555,1.14687,2.31998,1.29025,0.000492224,0.000492224,0.000492224
10,2508.16,0.7469,0.73752,1.01591,0.43286,0.29234,0.28089,0.14236,1.15732,2.41502,1.29041,0.000490173,0.000490173,0.000490173
11,2754.49,0.73637,0.72068,1.00948,0.44026,0.28955,0.27681,0.1396,1.15824,2.47122,1.30177,0.000487886,0.000487886,0.000487886
12,3001.39,0.72662,0.70876,1.00276,0.38225,0.29553,0.26925,0.13267,1.14625,2.33619,1.29996,0.000485368,0.000485368,0.000485368
13,3248.4,0.71988,0.69704,0.99875,0.42507,0.29808,0.28897,0.14562,1.14962,2.34979,1.30245,0.00048262,0.00048262,0.00048262
14,3497.8,0.7114,0.6875,0.9935,0.40088,0.30019,0.27676,0.13959,1.14449,2.39446,1.29024,0.000479644,0.000479644,0.000479644
15,3744.3,0.70413,0.67778,0.98833,0.40682,0.28486,0.28036,0.14074,1.13961,2.28225,1.28701,0.000476445,0.000476445,0.000476445
16,3994.78,0.69785,0.6707,0.98431,0.37509,0.28365,0.26527,0.13522,1.13275,2.30184,1.29024,0.000473024,0.000473024,0.000473024
17,4241.38,0.69135,0.66145,0.98112,0.4228,0.3005,0.28221,0.14432,1.12858,2.31822,1.28143,0.000469386,0.000469386,0.000469386
18,4485.81,0.68541,0.6544,0.97705,0.39505,0.2961,0.27729,0.14365,1.12845,2.32545,1.28342,0.000465534,0.000465534,0.000465534
19,4733.21,0.67936,0.64667,0.97399,0.41054,0.30289,0.27916,0.14377,1.12121,2.31225,1.28921,0.000461471,0.000461471,0.000461471
20,4982.08,0.67316,0.63921,0.97116,0.44719,0.30847,0.28853,0.15021,1.12805,2.31193,1.29125,0.000457202,0.000457202,0.000457202
21,5232.57,0.67029,0.63562,0.9696,0.42526,0.29315,0.27704,0.14195,1.14011,2.34943,1.29863,0.000452732,0.000452732,0.000452732
